Overall Rating,Comments,Feedback Category
Neutral,I have using the Scholastic Book Club for over 20 plus years. My frustration these past years has been: I do not get the catalogs in enough time to place my orders. Sometimes they don’t come at all and I have to call to have them sent. The reason parents aren’t ordering books is because they get the flier past the holiday they should order from. The books are late coming to parents so they don’t want to order. Please help me make this successful to use.,Kits
Neutral,This survey interrupted my order,Website- Survey Pop Up Issue
Neutral,I wish that it was easier to make a purchase as a parent and not just a teacher,All Other
Satisfied,"It was confusing at first and I didn’t realize I needed to sign in under book clubs to access my son’s classroom order. I was shopping under the parent section and then when I realized I should be under book clubs, I created a whole new order.",Website- General Comment/Navigation
Very Satisfied,Had to take  This survey wouldn’t let me complete the order,Website- Survey Pop Up Issue
Very Satisfied,Couldn't locate where to combine checks and credit card orders.  Called and spoke with service representative and completed my order.,Account Balance/Payment
Neutral,Trying to buy books from my friends kids,Website- General Comment/Navigation
Very Satisfied,I would like to see more $1.00 books.,Price
Neutral,Love the books that scholastic provides even when I was a kid,Thanks/Praise
Neutral,"The site was not very easy to navigate on a cell phone. A pop up asking me for my feedback kept blocking my view, and what could have taken 2 mins took a good 6-8 minutes to place an order.",Website- Mobile Compatability
Very Satisfied,ok,Thanks/Praise
Satisfied,coupon cope provided did not work,Bonus Points/Rewards/Promos
Very Satisfied,I love Scholastic!,Thanks/Praise
Neutral,"I clicked a link to look for child's teacher, but the form didn't work. I eventually found it through another link, but it took some time and frustration.",Connecting Teacher/Class Code
Neutral,"I am still upset about a mistake for an order.  The address of delivery was supposed to be changed to be delivered to the school, but the representative only changed the billing address so I was not able to get a reimbursement from my school as it was sent to my address and not the school.",All Other
Neutral,I would like to purchase books and have them sent to my home address.  I have tried c connecting to my son's school teacher but she is uninterested in participating in the Scholastic Book Club.  Is there any way for me to purchase books and have them sent to my home.  I previously did this during summer.,Connecting Teacher/Class Code
Satisfied,Nice site,Thanks/Praise
Satisfied,Wish we could see more of the potential book to buy.,Website- Filter/Search Options
Satisfied,You should make it easier to apply the $10 teacher coupon.  It should automatically be applied to order or a code should be on it so that it can be applied.  I have not be able to add it on one of my orders.,Bonus Points/Rewards/Promos
Very Satisfied,"Each year it takes me a little time to get back into how to use the site to set up my classroom orders etc,, but then it is easy and works well.",Thanks/Praise
Very Satisfied,Easy to navigate and edit wishlists.,Thanks/Praise
Satisfied,Would love personal home delivery back. I would pay shipping to have that as an option. It makes it easier as I buy a lot of items which is hard to children to have to transport home.,All Other
Very Satisfied,I will purchase just need to verify which books my child wants.  Came today to connect child to new teacher.,All Other
Very Satisfied,Very easy set up for homeschool account creation,Thanks/Praise
Very Satisfied,Love Scholastic!  Great prices on good books.,Thanks/Praise
Satisfied,It was easy,Thanks/Praise
Neutral,It would be easier to see all the books. It’s just not easy to navigate the sight.  Suggested books popped up that I wanted to go back to but could not find them again.  I did like having the option of ordering online but navigation and layout needs improvement.,Website- Filter/Search Options
Very Satisfied,Love the search options... Helps find books to fit each child,Thanks/Praise
Very Satisfied,Adding the free book got glitchy with scrolling (on an iphone). I do like that when you search for a book to add you can tap it and get a small preview. I also think the previews of books are detailed which is nice.,Website- Mobile Compatability
Neutral,Easy to navigate - thank you!,Thanks/Praise
Satisfied,"I had a little difficulty connecting to my granddaughter's new teacher, but I finally figured it out with help from FAQ.",Connecting Teacher/Class Code
Very Satisfied,"I really believe that you should allow retired teachers to maintain their account.  I buy books for my Little Free Library,  because I want kids to have NEW books.  The hassle of finding a teacher to order under seems wrong after the thousands of dollars of books that were ordered by me over 39 years of teaching Kindergarten.    What would be the harm in letting me maintain my account?",All Other
Neutral,it will not let me set up an ewallet for my child,Account Balance/Payment
Satisfied,Have not received fall book order forms for families yet.  Would like to get those.,Kits
Satisfied,Navigating by reading level and interest was a bit tricky,Website- Filter/Search Options
Very Satisfied,I hope all delivery problems have been resolved. I know you had a rough year last year. May 22/23 year be better for all of us!,Prior Year Shipping Delay
Neutral,The page signs out quicky. The selection is limited,Products Offered/ Availability
Neutral,Once code is entered where do you go,Website- General Comment/Navigation
Neutral,Trying to find books in Spanish and having a hard time,Website- Filter/Search Options
