WeekOf,OverallRating,Comments,FeedbackCategory
9/8/2022,Disappointed,I wasn't able to access the tab of Introduce a Teacher,Website Performance/Navigation
9/8/2022,Very Satisfied,I enjoy looking for books for my child on this site.  It's very easy!,Thanks/Praise
9/8/2022,Satisfied,"While looking at flyers online, I had difficulty accessing the arrow in order to flip to the next page. Sometimes it was accessible to me, and other times it wasn't",Website Performance/Navigation
9/8/2022,Neutral,my gift cards would not work with the packs or books that i am ordering,Account Balance/Payment
9/8/2022,Very Satisfied,Everything went fine.,Thanks/Praise
9/8/2022,Very Satisfied,Waiting for day's end to submit.,Intend to Order in Future
9/8/2022,Neutral,"In general, I feel its hard to get a full list of available books. I keep clicking around and seeing the same 10 books. I want to see more than that -- I know there is more available. If my daughter wasn't so excited to get books and this didn't support her teacher, I would just purchase from Target or Amazon.",Products Offered/Availability
9/8/2022,Satisfied,"When I first logged on, I did not automatically go to the bookclub and had some difficulty beginning the search for my child's books.  Once, I entered /bookclub directly in the web address bar, it made searching for the books easy.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Neutral,"It's very hard to search.  I can never get search results that match what I am looking for. The flyers and the website are not organized well at all. The flyers are still the same as they were when I was in elementary school 35 years ago. The website is difficult to search considering it is 2022.  It should be much easier to search for what I am looking for. I wanted to find easy reader/I Can Read books for level 1. Not a set, individual books. I couldn't find them.",Website Filter/Search Options
9/8/2022,Very Satisfied,I love scholastic. I miss the big books.  My mother use to go to book fairs and buy from the door-to-door salesman.,Thanks/Praise
9/8/2022,Satisfied,"no issues, easy search feature, lots of options, definitely will visit again for my 7 year old...",Thanks/Praise
9/8/2022,Disappointed,"I have been having difficulties tracking down a watch that I ordered with bonus points.  I received the 2 other items from the outside vendor by August 16th but still waiting on the watch.  I was only staying in a temporary home for just over a month but have now moved to my new home in Florida.  My husband has stayed behind for almost 2 weeks waiting for the watch to arrive but he needs to drive down to Florida today.  I have called 3 different times, the first time was to see if it hadn't been shipped if I could change the address to Florida home, the 2nd time was to see if they had responded on address change (they hadn't) she sent another email and said they would contact me (they haven't) today she sent for a tracking number since it's been over 4 weeks now.  I am waiting to hear back once more, hopefully this time I will hear from someone finally.",Delayed Shipping/Delivery
9/8/2022,Neutral,"I had not used Scholastic Book Clubs in the past few years due to the delay in receiving books and price increases as a result of the Covid pandemic.  I would like to try ordering again with this year's class.  I have not received any paper copies and would like to send those home, but cannot find out how to get those sent to me.",Hopeful Shipping Improves this Year
9/8/2022,Satisfied,"A suggestion for the website layout, is to add quick add instead of actually clicking on the book.  Just takes a little longer.  )",All Other
9/8/2022,Very Satisfied,I love ordering from Scholastic news you make it easy.,Thanks/Praise
9/8/2022,Very Disappointed,"It is sad that we have to spend a certain amount to get access to the $1 books. As a teacher, we would be able to spend so much more money on books if we had access to the $1 books. I have parents/friends that want to support my classroom and it went from $20 a month to $40 a month if we can even find a decent book for $2. This makes me sad, because for what it would cost me for a whole year, now I can only hope I can get 6 months worth. But if I only find a $3 book @ 21 students, that allows me 2 months worth of books. It makes me not want to use your site to purchase books anymore.",Price
9/8/2022,Very Satisfied,"Not really a difficulty but I added the book I'd be using for my ""free"" book when I used the code READS. But after using the code, you can't select a book already in your cart and you have to enter a the book again and then go back and delete the one you already had in there. Again, not a big deal but it would be nice if when you enter a code, it let you apply it to something already in your cart.",Bonus Points/Rewards/Promos
9/8/2022,Very Disappointed,"Please withdraw me from your mailing list,  email,  and do not send any more flyers to me.  I have used Scholastic for many years and have recently noticed the change from good book offerings to children to too many political, and WOKE offerings. I  am not interested in supporting Scholastic any longer.   C  Tabor  Kindergarten   Madison Elementary  1436 W 300 N  Warsaw, IN  4582-6335",Products Offered/Availability
9/8/2022,Neutral,"While you all really have the classroom book club process down and are very friendly for teachers, I'm still not pleased with the ratio of high-quality and classic literature to more solely fun and silly books that are written as more of a cartoon dialogue.  The prevalence of teachers using Scholastic at my new school and the slightly more balanced selections on the most recent flyers has prompted me to come cook at reviving my account, though.  We'll see!  I'm not just a straight-laced teacher who doesn't want kids to have fun.  I want to keep them open to the historical body of literature and to help them develop their language skills.  The students I teach are not hard to pair with books.  They love them!",Products Offered/Availability
9/8/2022,Very Satisfied,It was great and so easy to add my kids.,Thanks/Praise
9/8/2022,Satisfied,"I got an email about a Goosebump author visit contest and wanted to sign up. Once I sign into Scholastic, I can't find where to sign up for the contest. Please advice. My class would love to win this!",All Other
9/8/2022,Very Satisfied,"Could not find my childs teacher, but used a different teacher",Connecting Teacher/Class Code
9/8/2022,Very Satisfied,I tried to enter the R.L.Stine contest and it says that I do not have permission from you to do so....  Please let me know when it is fixed.,All Other
9/8/2022,Neutral,Everything went very well!,Thanks/Praise
9/8/2022,Satisfied,I set up my teacher account,Connecting Teacher/Class Code
9/8/2022,Very Satisfied,This site was really easy to use,Thanks/Praise
9/8/2022,Very Satisfied,I made this payment and it still shows I owe.,Account Balance/Payment
9/8/2022,Satisfied,"I didn't understand the difference between ordering on the site and ordering through the book club, but I figured it out.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
9/8/2022,Very Satisfied,"Placing a book order was very easy.  The website is very easy to look through, prices were well priced.",Thanks/Praise
9/8/2022,Satisfied,"The selection was a little underwhelming. Im shopping for 5 years old and under. Looking for educational or with good stories. At a glance, many of the books did not appeal to what im looking for for my kids. The illustrations were too abstract and the characters seemed kinda obscure. I saw Berenstain Bears and may return to buy some of those. But overall i thought the selections seemed weak.",Products Offered/Availability
9/8/2022,Satisfied,There were many books we were looking to our collection that are not on site.  Would like to see more Rick Riordan choices.   Would rather shop under school account than go to a book store or order on amazon.,Products Offered/Availability
9/8/2022,Satisfied,"Some of the search features didnt seem to work quite as hoped, but I was able to nagivate around and find the books I was looking for.",Website Filter/Search Options
